word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
equation,"
+) a mathematical statement that two expressions are equal",n,"
+) on a par with the best",equation,0,"+) sự làm cân bằng
+) lượng bù sai
+) (toán học) phương trình"
hypothesis,"
+) a proposal intended to explain certain facts or observations",n,"
+) a scientific hypothesis that survives experimental testing becomes a scientific theory
+) he proposed a fresh theory of alkalis that later was accepted in chemical practices",hypothesis,0,"+) giả thuyết
+) giả thiết
+) to test h. with experiment chứng minh giả thiết bằng thực nghiệm under the h. theo giả thiết admissible h. giả thiết chấp nhận được"
developing,"
+) processing a photosensitive material in order to make an image visible","v, n, s","
+) the development and printing of his pictures took only two hours
+) Her company developed a new kind of building material that withstands all kinds of weather
+) They developed a new technique",development,0,"+) đang phát triển, trên đà phát triểndevelop /di'veləp/
+) trình bày, bày tỏ, thuyết minh (luận điểm, vấn đề...)
+) phát triển, mở mang, mở rộng, khuếch trương, làm cho phát đạt"
feature,"
+) a prominent attribute or aspect of something","v, n","
+) the map showed roads and other features
+) generosity is one of his best characteristics
+) an expression of pleasure crossed his features",feature,0,"+) nét đặc biệt, điểm đặc trưng
+) (số nhiều) nét mặt
+) bài đặc biệt, tranh biếm hoạ đặc biệt (trong một tờ báo)"
label,"
+) a brief description given for purposes of identification","v, n","
+) the label Modern is applied to many different kinds of architecture
+) the artists and repertoire department of a recording label is responsible for finding new talent
+) These students were labelled `learning disabled'",label,0,"+) nhãn, nhãn hiệu
+) danh hiệu; chiêu bài
+) (pháp lý) phân bổ chính (của một văn kiện)"
bee,"
+) any of numerous hairy-bodied insects including social and solitary species",n,"
+) ",bee,0,"+) (động vật học) con ong
+) nhà thơ
+) người bận nhiều việc"
was,"
+) a state in northwestern United States on the Pacific","v, n","
+) John is rich
+) This is not a good answer
+) The president of the company is John Smith",Washington,0,"+) thì, là
+) có, tồn tại, ở, sống
+) trở nên, trở thành"
observed,"
+) discover or determine the existence, presence, or fact of","v, s","
+) She detected high levels of lead in her drinking water
+) We found traces of lead in the paint
+) She observed that his presentation took up too much time",detect,0,"+) the observed
+) đối tượng quan sát
+) bị quan sát được quan sátobserve /əb'zə:v/"
analyst,"
+) someone who is skilled at analyzing data",n,"
+) ",analyst,0,"+) người phân tích
+) (toán học) nhà giải tích
+) (Tech) phân tích viên"
estimation,"
+) a document appraising the value of something (as for insurance or taxation)",n,"
+) they had a high estimation of his ability
+) an estimate of what it would cost
+) a rough idea how long it would take",appraisal,0,"+) sự đánh giá; sự ước lượng
+) sự kính mến, sự quý trọng
+) (Tech) ước lượng, ước tính"
likelihood,"
+) the probability of a specified outcome",n,"
+) ",likelihood,0,"+) sự có thể đúng, sự có thể thật
+) (thống kê) hợp lý
+) maximum l. (thống kê) hợp lý cực đại"
regression,"
+) an abnormal state in which development has stopped prematurely",n,"
+) ",arrested_development,0,"+) sự thoái bộ, sự thoái lui; sự đi giật lùi, sự đi ngược trở lại
+) (toán học) hồi quy
+) (thống kê) hồi quy"
