word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
descent,"
+) a movement downward",n,"
+) he comes from good origins
+) his entire lineage has been warriors",descent,0,"+) sự xuống
+) sự hạ thấp xuống (độ nhiệt...)
+) sự dốc xuống; con đường dốc"
accuracy,"
+) the quality of being near to the true value",n,"
+) he was beginning to doubt the accuracy of his compass
+) the lawyer questioned the truth of my account
+) the atomic clock enabled scientists to measure time with much greater accuracy",accuracy,0,"+) sự đúng đắn, sự chính xác; độ chính xác
+) (Tech) chính xác (d); độ chính xác
+) [sự; độ] chính xác"
exponential,"
+) a function in which an independent variable appears as an exponent","a, n","
+) exponential growth",exponential,0,"+) (toán học) (thuộc) số mũ, theo luật số mũ
+) (Tech) thuộc số mũ
+) (thuộc) số mũ // hàm số mũ"
between,"
+) in the interval",r,"
+) dancing all the dances with little rest between
+) two houses with a tree between",between,0,"+) giữa, ở giữa
+) trong khoảng
+) nửa... nửa; vừa... vừa"
objective,"
+) the goal intended to be attained (and which is believed to be attainable)","a, n, s","
+) the sole object of her trip was to see her children
+) an objective appraisal
+) objective evidence",aim,0,"+) khách quan
+) (thuộc) mục tiêu
+) (ngôn ngữ học) (thuộc) cách mục tiêu"
computation,"
+) the procedure of calculating; determining something by mathematical or logical methods",n,"
+) ",calculation,0,"+) sự tính toán, sự ước tính
+) (Tech) tính toán, kế toán; kỹ thuật tính toán
+) sự tính toán, tính"
convex,"
+) curving or bulging outward",a,"
+) ",convex,0,"+) (toán học),  (vật lý) lồi
+) (Tech) mặt lồi
+) lồi"
multi,,,,,0,"+) tiếp đầu ngữ, chỉ nhiều, đa"
optimize,"
+) make optimal; get the most out of; use best",v,"
+) optimize your resources
+) optimize a computer program",optimize,0,"+) lạc quan; theo chủ nghĩa lạc quan
+) đánh giá một cách lạc quan, nhìn bằng con mắt lạc quan
+) tối ưu hoá"
sigmoid,"
+) curved in two directions (like the letter S)",a,"
+) ",sigmoid,0,"+) (giải phẫu) hình xichma
+) đường xicmoit"
computational,"
+) of or involving computation or computers",a,"
+) computational linguistics",computational,0,"+) có sử dụng máy điện toán
+) (thuộc) tính toán"
hardware,"
+) major items of military weaponry (as tanks or missile)",n,"
+) ",hardware,0,"+) đồ ngũ kim
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) vũ khí"
fast,"
+) abstaining from food","r, v, n, a, s","
+) Catholics sometimes fast during Lent
+) Before the medical exam, you must fast
+) fast film",fast,0,"+) chắc chắn
+) thân, thân thiết, keo sơn
+) bền, không phai"
parameter,"
+) a constant in the equation of a curve that can be varied to yield a family of similar curves",n,"
+) ",parameter,0,"+) (toán học) thông số, tham số, tham biến
+) thông số, tham số
+) p. of distribution tham số phân phối"
mega,,,,,0,+) Tiền tố để chỉ 1 triệu
misc,,,,,0,"+) (viết tắt)tạp hoá linh tinh, pha tạp, hỗn hợp"
approximation,"
+) an approximate calculation of quantity or degree or worth",n,"
+) an estimate of what it would cost
+) a rough idea how long it would take
+) newspapers gave only an approximation of the actual events",estimate,0,"+) sự gần
+) sự xấp xỉ, sự gần đúng
+) cái xấp xỉ, con số xấp xỉ; ý nghĩa gần đúng"
histogram,"
+) a bar chart representing a frequency distribution; heights of the bars represent observed frequencies",n,"
+) ",histogram,0,"+) biểu đồ
+) biểu đồ tần số
+) area h. biểu đồ tầng số điện tích"
convergence,"
+) the occurrence of two or more things coming together",n,"
+) there was no overlap between their proposals",convergence,0,"+) sự hội tụ
+) độ hội tụ
+) (Tech) hội tụ; độ hội tụ"
density,"
+) the amount per unit size",n,"
+) ",density,0,"+) tính dày đặc
+) sự đông đúc, sự trù mật
+) độ dày, mật độ, độ chặt"
dimensional,"
+) of or relating to dimensions","a, s","
+) never matures as a dimensional character; he is pasty, bland, faceless",dimensional,0,"+) thuộc chiều; thuộc kích thước, thuộc khổ, thuộc cỡ
+) (toán học) (thuộc) thứ nguyên"
both,"
+) (used with count nouns) two considered together; the two",s,"
+) both girls are pretty",both,0,"+) cả hai
+) cả... lẫn; vừa... vừa"
versus,,,,,0,"+) chống, chống lại, đấu với"
normalization,"
+) the imposition of standards or regulations",n,"
+) a committee was appointed to recommend terminological standardization",standardization,0,"+) sự thông thường hoá, sự bình thường hoá
+) sự tiêu chuẩn hoá"
factor,"
+) anything that contributes causally to a result","v, n","
+) a number of factors determined the outcome
+) jealousy was a component of his character
+) two constituents of a musical composition are melody and harmony",factor,0,"+) nhân tố
+) người quản lý, người đại diện
+) người buôn bán ăn hoa hồng"
partition,"
+) a vertical structure that divides or separates (as a wall divides one room from another)","v, n","
+) The Arab peninsula was partitioned by the British
+) partition a room off",partition,0,"+) sự chia ra
+) ngăn phần
+) liếp ngăn, bức vách ngăn"
ply,"
+) one of the strands twisted together to make yarn or rope or thread; often used in combination","v, n","
+) three-ply cord
+) four-ply yarn
+) The hostess provided lunch for all the guests",ply,0,"+) lớp (vải, dỗ dán...)
+) sợi tạo (len, thừng...)
+) (nghĩa bóng) khuynh hướng, nếp, thói quen"
family,"
+) a social unit living together",n,"
+) he moved his family to Virginia
+) It was a good Christian household
+) I waited until the whole house was asleep",family,0,"+) gia đình, gia quyến
+) con cái trong gia đình
+) dòng dõi, gia thế"
robust,"
+) sturdy and strong in form, constitution, or construction","a, s","
+) a robust body
+) a robust perennial
+) a rich ruby port",robust,0,"+) khoẻ mạnh, tráng kiện, cường tráng
+) làm mạnh khoẻ; đòi hỏi sức mạnh
+) ngay thẳng, thiết thực (trí óc...)"
hut,"
+) temporary military shelter",n,"
+) ",hut,0,"+) túp lều
+) (quân sự) nhà gỗ tạm thời cho binh lính
+) cho ở lều"
haar,,,,,0,+) sương lạnh ngoài biển (trên biển miền đông của Anh)
curse,"
+) profane or obscene expression usually of surprise or anger","v, n","
+) expletives were deleted
+) a witch put a curse on his whole family
+) he put the whammy on me",curse,0,"+) sự nguyền rủa, sự chửi rủa
+) tai ương, tai hoạ; vật ghê tở, vật đáng nguyền rủa
+) lời thề độc"
insufficient,"
+) of a quantity not able to fulfill a need or requirement",a,"
+) insufficient funds",insufficient,0,"+) không đủ, thiếu
+) không đủ, thiếu sót"
conditionally,"
+) subject to a condition",r,"
+) he accepted the offer conditionally",conditionally,0,"+) có điều kiện, tùy theo điều kiện
+) một cách có điều kiện"
probable,"
+) an applicant likely to be chosen","a, n, s","
+) a likely result
+) he foresaw a probable loss
+) the probable consequences of going ahead with the scheme",probable,0,"+) có thể có, có khả năng xảy ra, chắc hẳn, có lễ đúng, có lẽ thật
+) người ứng cử có nhiều khả năng trúng cử
+) sự chọn lựa hầu như chắc chắn"
preference,"
+) a strong liking",n,"
+) my own preference is for good literature
+) the Irish have a penchant for blarney
+) a predilection for expensive cars",preference,0,"+) sự thích hơn, sự ưa hơn
+) cái được ưa thích hơn
+) quyền ưu tiên (trả nợ...)"
highest,"
+) greater than normal in degree or intensity or amount","a, s","
+) a high temperature
+) a high price
+) the high point of his career",high,0,"+) cao nhất; lớn nhấthigh /hai/
+) cao
+) cao giá, đắt"
intensive,"
+) a modifier that has little meaning except to intensify the meaning it modifies","a, n, s","
+) `up' in `finished up' is an intensifier
+) `honestly' in `I honestly don't know' is an intensifier
+) the questioning was intensive",intensifier,0,"+) mạnh, có cường độ lớn
+) làm mạnh mẽ, làm sâu sắc
+) tập trung sâu"
our,,,,,0,"+) của chúng ta, của chúng tôi, của chúng mình
+) của trẫm (vua chúa...)
+) thượng đế"
times,"
+) a more or less definite period of time now or previously present","v, n","
+) it was a sign of the times
+) the multiplication of four by three gives twelve
+) four times three equals twelve",times,0,"+) nhân với
+) gấp (dùng để chỉ sự nhân lên)time /taim/
+) thời gian, thì giờ"
observing,"
+) discover or determine the existence, presence, or fact of","v, s","
+) She detected high levels of lead in her drinking water
+) We found traces of lead in the paint
+) She observed that his presentation took up too much time",detect,0,"+) có khả năng nhận xét, hay quan sátobserve /əb'zə:v/
+) quan sát, nhận xét, theo dõi
+) tiến hành, cử hành, làm (lễ kỷ niệm...)"
frequency,"
+) the number of occurrences within a given time period",n,"
+) the frequency of modulation was 40 cycles per second
+) the frequency of his seizures increased as he grew older",frequency,0,"+) (Tech) tần số
+) (vật lí) tần số
+) angular f. tần số góc"
vcr,"
+) a magnetic tape recorder for recording (and playing back) TV programs",n,"
+) ",videocassette_recorder,0,+) đầu máy viđêô (video cassette recorder)
smoothing,"
+) make smooth or smoother, as if by rubbing",v,"
+) smooth the surface of the wood
+) shine the silver, please
+) polish my shoes",smooth,0,"+) sự san bằng; làm nhẵn
+) sự làm trơn, sự làm nhẵn
+) linear s. [sự san bằng; sự làm trơn] tuyến tínhsmooth /smu:ð/"
newsgroup,,,,,0,"+) nhóm thông tin, nhóm thảo luận"
came,"
+) move toward, travel toward something or somebody or approach something or somebody",v,"
+) He came singing down the road
+) Come with me to the Casbah
+) come down here!",come,0,"+) khung chì (để) lắp kinh (cửa)come /kʌm/
+) đến, tới, đi đến, đi tới, đi lại
+) sắp đến, sắp tới"
graphics,"
+) photographs or other visual representations in a printed publication",n,"
+) the publisher was responsible for all the artwork in the book",artwork,0,"+) (Tech) môn đồ họa, môn đồ hình; thiết bị dồ họa/hình"
feet,"
+) the part of the leg of a human being below the ankle joint",n,"
+) his bare feet projected from his trousers
+) armored from head to foot
+) he is six feet tall",foot,0,"+) chân, bàn chân (người, thú...)
+) bước chân, cách đi
+) (quân sự) bộ binh"
converge,"
+) be adjacent or come together",v,"
+) The lines converge at this point
+) The crowd converged on the movie star
+) Social forces converged to bring the Fascists back to power",converge,0,"+) (toán học); (vật lý) hội tụ (tia sáng); đồng quy
+) cùng kéo về, cùng đổ về (một nơi)
+) hội tụ, đồng quy"
formulation,"
+) a substance prepared according to a formula",n,"
+) the physician prescribed a commercial preparation of the medicine
+) he suggested a better formulation
+) his manner of expression showed how much he cared",formulation,0,"+) sự làm thành công thức; sự đưa vào một công thức
+) sự trình bày rõ ràng chính xác, phát biểu có hệ thống (ý kiến...)"
analytical,"
+) using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)",a,"
+) an analytic experiment
+) an analytic approach
+) a keenly analytic man",analytic,0,"+) dùng phép phân tích
+) (toán học) dùng phép giải tích"
ibm,,,,,0,+) vt của International Business Machines (Công ty máy điện toán IBM của Mỹ)
mac,"
+) a waterproof raincoat made of rubberized fabric",n,"
+) ",macintosh,0,+) xem mackintosh+ông (dùng để xưng hô với một người đàn ông lạ)
alt,"
+) angular distance above the horizon (especially of a celestial object)",n,"
+) ",elevation,0,+) (âm nhạc) nốt cao
atheism,"
+) the doctrine or belief that there is no God",n,"
+) ",atheism,0,+) thuyết vô thần
soc,,,,,0,"+) người theo chủ nghĩa xã hội (Socialist)
+) Hội, đoàn thể (Society)"
christian,"
+) a religious person who believes Jesus is the Christ and who is a member of a Christian denomination","a, n","
+) Christian rites",Christian,0,"+) (thuộc) đạo Cơ-đốc; tin vào Cơ-đốc
+) (thuộc) thánh
+) (thuộc) người văn minh"
crypt,"
+) a cellar or vault or underground burial chamber (especially beneath a church)",n,"
+) ",crypt,0,+) hầm mộ (ở nhà thờ)
electronics,"
+) the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices",n,"
+) ",electronics,0,"+) điện tử học
+) (Tech) điện tử học, môn điện tử; công trình điện tử [ĐL]
+) điện tử học, kỹ thuật điện tử"
estimated,"
+) judge tentatively or form an estimate of (quantities or time)",v,"
+) I estimate this chicken to weigh three pounds",estimate,0,"+) được ước lượngestimate /'estimit - 'estimeit/
+) 'estimeit/
+) sự đánh giá, sự ước lượng"
mideast,"
+) the area around the eastern Mediterranean; from Turkey to northern Africa and eastward to Iran; the site of such ancient civilizations as Phoenicia and Babylon and Egypt and the birthplace of Judaism and Christianity and Islam; had continuous economic and political turmoil in the 20th century",n,"
+) the Middle East is the cradle of Western civilization",Middle_East,0,+) như Middle East
med,"
+) a master's degree in education",n,"
+) ",Master_of_Education,0,+) thạc sĩ sư phạm (Master of Education)
rick,"
+) a painful muscle spasm especially in the neck or back (`rick' and `wrick' are British)","v, n","
+) rick hay
+) wrench one's ankle
+) The wrestler twisted his shoulder",crick,0,"+) đống, đụn, cây (rơm)
+) đánh đống, đánh đụn (rơm)
+) (như) wrick"
datum,"
+) an item of factual information derived from measurement or research",n,"
+) ",datum,0,"+) số lượng đã cho (bài toán...); điều đã cho biết
+) luận cứ
+) (số nhiều datums) mốc tính toán, mốc đo lường"
temp,"
+) a worker (especially in an office) hired on a temporary basis",n,"
+) ",temp,0,"+) nhân viên tạm thời (nhất là thư ký)
+) &amp;lt;thgt&amp;gt; làm công việc tạm thời
+) nhiệt độ (temperature)"
hum,"
+) the state of being or appearing to be actively engaged in an activity","v, n","
+) they manifested all the busyness of a pack of beavers
+) there is a constant hum of military preparation
+) the hum of distant traffic",busyness,0,"+) (từ lóng) (như) humbug
+) tiếng vo ve, tiếng o o (sâu bọ...); tiếng kêu rền (máy)
+) tiếng ầm ừ, lời nói ậm à ậm ừ, lời nói ấp úng"
when,,,,,0,"+) khi nào, hồi nào, lúc nào, bao giờ
+) khi, lúc, hồi
+) trong khi mà, một khi mà"
empirical,"
+) derived from experiment and observation rather than theory",a,"
+) an empirical basis for an ethical theory
+) empirical laws
+) empirical data",empirical,0,"+) theo lối kinh nghiệm, kinh nghiệm chủ nghĩa"
seldom,"
+) not often",r,"
+) we rarely met",rarely,0,"+) ít khi, hiếm khi
+) hiếm"
correlated,"
+) to bear a reciprocal or mutual relation","v, s","
+) Do these facts correlate?
+) I cannot correlate these two pieces of information",correlate,0,"+) tương quancorrelate /'kɔrileit/
+) thể tương liên, yếu tố tương liên
+) có tương quan với nhau; để (hai vật) tương quan với nhau"
generalization,"
+) reasoning from detailed facts to general principles",n,"
+) he spoke in broad generalities",generalization,0,"+) sự tổng quát hoá; sự tổng hợp, sự khái quát, sự suy rộng
+) điều tổng quát, điều khái quát
+) sự tổng quát hoá, sự suy rộng"
required,"
+) require as useful, just, or proper","v, s","
+) It takes nerve to do what she did
+) success usually requires hard work
+) This job asks a lot of patience and skill",necessitate,0,"+) đòi hỏi, cần tìmrequire /ri'kwaiə/
+) đòi hỏi, yêu cầu
+) cần đến, cần phải có"
some,"
+) quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity","a, r, s","
+) have some milk
+) some roses were still blooming
+) having some friends over",some,0,"+) nào đó
+) một ít, một vài, dăm ba
+) khá nhiều, đáng kể"
computationally,"
+) with regard to computation",r,"
+) computationally, this is a tricky problem",computationally,0,+) xem computation
intractable,"
+) not tractable; difficult to manage or mold",a,"
+) an intractable disposition
+) intractable pain
+) the most intractable issue of our era",intractable,0,"+) cứng đầu cứng cổ, khó bảo (người)
+) khó uốn nắn, khó làm (vật liệu...)
+) khó chữa (bệnh...)"
formulate,"
+) elaborate, as of theories and hypotheses",v,"
+) Could you develop the ideas in your thesis
+) excogitate a way to measure the speed of light
+) He formulated his concerns to the board of trustees",explicate,0,"+) làm thành công thức; đưa vào một công thức
+) trình bày rõ ràng chính xác, phát biểu có hệ thống (ý kiến...)"
overcome,"
+) win a victory over",v,"
+) You must overcome all difficulties
+) defeat your enemies
+) He overcame his shyness",get_the_better_of,0,"+) thắng, chiến thắng
+) vượt qua, khắc phục (khó khăn...)
+) kiệt sức, mất tự chủ; mất tinh thần"
limitation,"
+) a principle that limits the extent of something",n,"
+) I am willing to accept certain restrictions on my movements
+) it is a good plan but it has serious limitations
+) there are limits on the amount you can bet",restriction,0,"+) sự hạn chế, sự hạn định, sự giới hạn
+) tính hạn chế, tính hạn định, tính có hạn
+) (số nhiều) nhược điểm, thiếu sót, mặt hạn chế"
reasoning,"
+) thinking that is coherent and logical","v, n, s","
+) We reasoned that it was cheaper to rent than to buy a house
+) The children must learn to reason",reasoning,0,"+) lý luận, lập luận, lý lẽ
+) sự tranh luận, sự cãi lý
+) có lý trí, biết suy luậnreason /'ri:zn/"
causal,"
+) involving or constituting a cause; causing",s,"
+) a causal relationship between scarcity and higher prices",causal,0,"+) (thuộc) nguyên nhân
+) (thuộc) quan hệ nhân quả
+) (thuộc) nguyên nhân; nhân quả"
ratio,"
+) the relative magnitudes of two quantities (usually expressed as a quotient)",n,"
+) an inordinate proportion of the book is given over to quotations
+) a dry martini has a large proportion of gin",ratio,0,"+) tỷ số, tỷ lệ
+) (kỹ thuật) số truyền
+) tỷ suất"
sain,,,,,0,"+) (từ cổ,nghĩa cổ) ban phép lành"
gaussian,"
+) of or relating to Karl Gauss or his mathematical theories of magnetics or electricity or astronomy or probability",a,"
+) Gaussian distribution",Gaussian,0,+) (thuộc) Gauxơ
covariance,"
+) (statistics) the mean value of the product of the deviations of two variates from their respective means",n,"
+) ",covariance,0,"+) (Tech) tính hiệp biến, hiệp phương sai
+) (thống kê) hiệp phương sai
+) lag c. (thống kê) hiệp phương sai trễ"
calx,"
+) a white crystalline oxide used in the production of calcium hydroxide",n,"
+) ",calcium_oxide,0,"+) số nhiều calxes,  calces
+) tro để lại sau khi nấu kim loại"
essentially,"
+) in essence; at bottom or by one's (or its) very nature",r,"
+) He is basically dishonest
+) the argument was essentially a technical one
+) for all his bluster he is in essence a shy person",basically,0,"+) về bản chất, về cơ bản"
efficiently,"
+) with efficiency; in an efficient manner",r,"
+) he functions efficiently",efficiently,0,"+) có hiệu quả, hiệu nghiệm"
needs,"
+) a condition requiring relief","v, r, n","
+) she satisfied his need for affection
+) God has no need of men to accomplish His work
+) there is a demand for jobs",need,0,"+) (tục ngữ) túng phải tínhNeed
+) (Econ) Nhu cầu.
+) Đôi khi người ta lập luận rằng trong một thị trường tự do, các cá nhân sẽ không có cầu đối với một số hàng hoá nào đó nhiều đến mức mà xã hội hay cộng đồng cho là họ cần phải tiêu dùng.need /ni:d/"
discriminatory,"
+) being biased or having a belief or attitude formed beforehand","a, s","
+) a prejudiced judge
+) discriminatory attitudes and practices
+) invidious comparisons",prejudiced,0,"+) phân biệt, biết phân biệt, có óc phán đoán, biết suy xét, sáng suốt"
decided,"
+) reach, make, or come to a decision about something","v, s","
+) We finally decided after lengthy deliberations
+) The case was decided
+) The judge decided the case in favor of the plaintiff",decide,0,"+) đã được giải quyết, đã được phân xử
+) đã được quyết định
+) kiên quyết, không do dự, dứt khoát"
bow,"
+) a knot with two loops and loose ends; used to tie shoelaces","v, n","
+) he pointed the bow of the boat toward the finish line
+) He bowed before the King
+) She bowed her head in shame",bow,0,"+) cái cung
+) vĩ (viôlông)
+) cầu vồng"
yew,"
+) wood of a yew; especially the durable fine-grained light brown or red wood of the English yew valued for cabinetwork and archery bows",n,"
+) ",yew,0,"+) (thực vật học) cây thuỷ tùng ((cũng) yew-tree)
+) gỗ thuỷ tùng"
pla,,,,,0,+) (tin học) viết tắt của Programmed Logic Array: ngôn ngữ lập trình
been,"
+) have the quality of being; (copula, used with an adjective or a predicate noun)",v,"
+) John is rich
+) This is not a good answer
+) The president of the company is John Smith",be,0,"+) thì, là
+) có, tồn tại, ở, sống
+) trở nên, trở thành"
non,"
+) negation of a word or group of words",r,"
+) he does not speak French
+) she is not going
+) they are not friends",not,0,+) (tiền tố) không
div,,,,,0,+) ác ma (thần thoại Ba-tư)
dim,"
+) switch (a car's headlights) from a higher to a lower beam","v, a, s","
+) the lights dimmed and the curtain rose
+) Time had dimmed the silver
+) The distinction between the two theories blurred",dim,0,"+) mờ, lờ mờ, tối mờ mờ, không rõ ràng; nhìn không rõ
+) nghe không rõ; đục (tiếng)
+) không rõ rệt, mập mờ, lờ mờ"
pip,"
+) a disease of poultry","v, n","
+) He mopped up the floor with his opponents",pip,0,"+) bệnh ứ đờm (gà)
+) (từ lóng) cơn buồn rầu, cơn chán nản; cơn bực bội
+) hột (cam, táo, lê)"
